City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,susuman,62.7833,148.1667,-28.91,100,97,0.2,RU,1733712618
83,vila velha,-20.3297,-40.2925,25.97,89,20,5.66,BR,1733712355
84,sabang,5.8933,95.3214,28.18,72,73,3.99,ID,1733712620
85,san patricio,28.017,-97.5169,12.97,81,100,2.62,US,1733712621
86,begun,24.9833,75.0,12.73,23,0,2.1,IN,1733712623
87,puerto natales,-51.7236,-72.4875,7.33,72,100,2.06,CL,1733712624
88,tual,-5.6667,132.75,27.48,81,100,6.76,ID,1733712625
89,kingston,17.997,-76.7936,24.53,94,75,2.57,JM,1733712568
90,pimentel,-6.8367,-79.9342,19.16,82,0,7.2,PE,1733712627
91,impfondo,1.6381,18.0667,21.62,68,8,0.54,CG,1733712628
92,albany,42.6001,-73.9662,4.8,82,100,2.61,US,1733712037
93,nova russas,-4.7067,-40.5631,26.61,68,96,3.45,BR,1733712630
94,bandundu,-3.3167,17.3667,22.04,92,69,1.7,CD,1733712631
95,wailua homesteads,22.0669,-159.378,25.44,84,20,4.63,US,1733712633
96,kolonia town,6.964,158.206,33.0,62,100,4.12,FM,1733712634
97,ushuaia,-54.8,-68.3,8.81,76,0,3.6,AR,1733712635
98,mejit,10.2753,170.8646,27.82,74,18,8.8,MH,1733712636
99,rania,29.5333,74.8333,13.05,40,0,1.49,IN,1733712637
100,emerald,-23.5333,148.1667,37.97,29,13,2.43,AU,1733712638
101,port mathurin,-19.6833,63.4167,24.77,84,100,6.29,MU,1733712639
102,remire-montjoly,4.9167,-52.2667,25.02,100,75,2.06,GF,1733712488
103,batamshinskiy,50.5594,58.2747,-14.65,81,21,2.19,KZ,1733712641
104,akrehamn,59.2667,5.1833,-0.86,86,0,4.12,NO,1733712642
105,quellon,-43.1167,-73.6167,7.14,84,68,2.82,CL,1733712644
106,puerto deseado,-47.7503,-65.8938,8.58,62,95,4.38,AR,1733712542
107,st. john's,47.5649,-52.7093,1.55,73,75,5.14,CA,1733712646
108,port-vila,-17.7338,168.3219,29.78,74,75,6.17,VU,1733712647
109,nacaome,13.5361,-87.4875,24.33,76,51,1.66,HN,1733712648
110,hawaiian paradise park,19.5933,-154.9731,25.73,81,100,4.12,US,1733712649
111,hasaki,35.7333,140.8333,10.02,34,0,3.06,JP,1733712650
112,new norfolk,-42.7826,147.0587,19.84,51,87,5.09,AU,1733712651
113,talnakh,69.4865,88.3972,-12.24,96,100,3.28,RU,1733712652
114,road town,18.4167,-64.6167,27.02,78,20,4.12,VG,1733712654
115,cuenca,-2.8833,-78.9833,12.32,97,95,1.57,EC,1733712655
116,lubawa,53.5043,19.7497,3.35,88,100,4.89,PL,1733712656
117,cootamundra,-34.65,148.0333,24.62,30,100,4.73,AU,1733712657
118,rio gallegos,-51.6226,-69.2181,11.03,37,0,2.06,AR,1733712375
119,chabahar,25.2919,60.643,19.37,31,38,3.33,IR,1733712659
